# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
592000 0.489 2.111
593000 0.471 2.155
594000 0.49 2.314
595000 0.45 2.274
596000 0.468 2.168
597000 0.473 2.081
598000 0.504 2.208
599000 0.499 2.147
600000 0.475 2.231
601000 0.495 2.243
602000 0.489 2.309
603000 0.509 2.261
604000 0.475 2.203
605000 0.479 2.211
606000 0.494 2.204
607000 0.487 2.119
608000 0.509 2.159
609000 0.467 2.117
610000 0.487 2.261
611000 0.495 2.257
612000 0.469 2.125
613000 0.495 2.225
614000 0.47 2.188
615000 0.469 2.153
616000 0.486 2.208
617000 0.494 2.132
618000 0.453 2.123
619000 0.465 2.199
620000 0.474 2.2
621000 0.527 2.263
622000 0.492 2.13
623000 0.494 2.2
624000 0.469 2.207
625000 0.514 2.208
626000 0.49 2.192
627000 0.477 2.207
628000 0.484 2.188
629000 0.509 2.261
630000 0.5 2.154
631000 0.483 2.137
632000 0.467 2.165
633000 0.494 2.184
634000 0.482 2.198
635000 0.483 2.241
636000 0.469 2.129
637000 0.475 2.197
638000 0.487 2.193
639000 0.487 2.183
640000 0.482 2.248
641000 0.46 2.152
642000 0.5 2.278
643000 0.459 2.241
644000 0.472 2.148
645000 0.486 2.206
646000 0.456 2.128
647000 0.497 2.103
648000 0.493 2.261
649000 0.49 2.19
650000 0.481 2.223
651000 0.486 2.154
652000 0.481 2.141
653000 0.46 2.244
654000 0.52 2.218
655000 0.488 2.16
656000 0.484 2.246
657000 0.484 2.242
658000 0.486 2.162
659000 0.499 2.161
660000 0.51 2.162
661000 0.473 2.239
662000 0.465 2.157
663000 0.485 2.241
664000 0.461 2.171
665000 0.469 2.135
666000 0.456 2.14
667000 0.478 2.23
668000 0.488 2.174
669000 0.483 2.207
670000 0.467 2.259
671000 0.481 2.163
672000 0.523 2.293
673000 0.49 2.2
674000 0.528 2.248
675000 0.475 2.255
676000 0.473 2.223
677000 0.492 2.256
678000 0.483 2.223
679000 0.465 2.237
680000 0.45 2.204
681000 0.47 2.158
682000 0.469 2.103
683000 0.466 2.196
684000 0.495 2.253
685000 0.468 2.108
686000 0.485 2.127
687000 0.471 2.183
688000 0.462 2.138
689000 0.451 2.181
690000 0.486 2.264
691000 0.439 2.169
692000 0.492 2.188
693000 0.469 2.187
694000 0.474 2.104
695000 0.477 2.195
696000 0.489 2.199
697000 0.509 2.221
698000 0.499 2.177
699000 0.509 2.173
700000 0.467 2.117
701000 0.47 2.146
702000 0.467 2.145
703000 0.483 2.199
704000 0.462 2.174
705000 0.479 2.103
706000 0.464 2.248
707000 0.471 2.177
708000 0.477 2.181
709000 0.469 2.205
710000 0.481 2.125
711000 0.482 2.172
712000 0.457 2.147
713000 0.466 2.196
714000 0.456 2.132
715000 0.463 2.157
716000 0.459 2.211
717000 0.476 2.158
718000 0.483 2.173
719000 0.475 2.203
720000 0.482 2.204
721000 0.463 2.121
722000 0.461 2.157
723000 0.479 2.265
724000 0.496 2.146
725000 0.467 2.187
726000 0.452 2.142
727000 0.471 2.171
728000 0.464 2.236
729000 0.448 2.24
730000 0.496 2.192
731000 0.495 2.125
732000 0.493 2.165
733000 0.44 2.118
734000 0.48 2.212
735000 0.455 2.181
736000 0.475 2.185
737000 0.503 2.223
738000 0.482 2.238
739000 0.474 2.096
740000 0.479 2.183
741000 0.489 2.221
742000 0.49 2.194
743000 0.483 2.209
744000 0.488 2.24
745000 0.498 2.142
746000 0.485 2.167
747000 0.462 2.15
748000 0.484 2.242
749000 0.489 2.223
750000 0.48 2.238
751000 0.482 2.166
752000 0.495 2.261
753000 0.491 2.205
754000 0.468 2.118
755000 0.494 2.214
756000 0.513 2.257
757000 0.463 2.159
758000 0.482 2.174
759000 0.474 2.228
760000 0.48 2.204
761000 0.483 2.155
762000 0.474 2.206
763000 0.462 2.148
764000 0.483 2.191
765000 0.493 2.233
766000 0.495 2.247
767000 0.478 2.144
768000 0.489 2.215
769000 0.475 2.197
770000 0.489 2.171
771000 0.479 2.259
772000 0.491 2.207
773000 0.474 2.152
774000 0.459 2.199
775000 0.479 2.133
776000 0.484 2.232
777000 0.46 2.28
778000 0.456 2.174
779000 0.48 2.184
780000 0.476 2.18
781000 0.457 2.173
782000 0.459 2.213
783000 0.478 2.25
784000 0.488 2.176
785000 0.445 2.153
786000 0.489 2.235
787000 0.469 2.195
788000 0.443 2.151
789000 0.465 2.171
790000 0.481 2.179
791000 0.47 2.154
792000 0.487 2.245
793000 0.487 2.139
794000 0.479 2.169
795000 0.487 2.169
796000 0.471 2.235
797000 0.455 2.247
798000 0.467 2.183
799000 0.485 2.191
800000 0.496 2.22
801000 0.461 2.159
802000 0.48 2.236
803000 0.444 2.166
804000 0.472 2.23
805000 0.469 2.195
806000 0.472 2.184
807000 0.458 2.102
808000 0.457 2.181
809000 0.496 2.144
810000 0.47 2.128
811000 0.486 2.278
812000 0.472 2.218
813000 0.466 2.242
814000 0.447 2.115
815000 0.481 2.211
816000 0.47 2.188
817000 0.47 2.17
818000 0.478 2.192
819000 0.467 2.265
820000 0.472 2.18
821000 0.471 2.175
822000 0.478 2.118
823000 0.474 2.234
824000 0.472 2.168
825000 0.483 2.213
826000 0.478 2.286
827000 0.46 2.232
828000 0.476 2.232
829000 0.477 2.205
830000 0.476 2.24
831000 0.477 2.203
832000 0.454 2.164
833000 0.462 2.226
834000 0.458 2.172
835000 0.439 2.149
836000 0.488 2.228
837000 0.478 2.232
838000 0.452 2.16
839000 0.475 2.259
840000 0.494 2.246
841000 0.468 2.2
842000 0.442 2.296
843000 0.442 2.166
844000 0.462 2.176
845000 0.474 2.204
846000 0.445 2.165
847000 0.481 2.283
848000 0.447 2.159
849000 0.493 2.199
850000 0.464 2.188
851000 0.465 2.171
852000 0.471 2.205
853000 0.455 2.189
854000 0.468 2.2
855000 0.432 2.196
856000 0.485 2.205
857000 0.443 2.165
858000 0.444 2.218
859000 0.486 2.182
860000 0.49 2.226
861000 0.446 2.166
862000 0.5 2.196
863000 0.485 2.239
864000 0.452 2.114
865000 0.487 2.219
866000 0.478 2.262
867000 0.459 2.243
868000 0.463 2.165
869000 0.483 2.185
870000 0.482 2.202
871000 0.463 2.131
872000 0.473 2.207
873000 0.489 2.261
874000 0.46 2.218
875000 0.454 2.17
876000 0.446 2.148
877000 0.48 2.208
878000 0.475 2.249
879000 0.472 2.284
880000 0.468 2.168
881000 0.484 2.254
882000 0.495 2.189
883000 0.498 2.15
884000 0.493 2.267
885000 0.461 2.177
886000 0.484 2.226
887000 0.483 2.221
888000 0.499 2.179
889000 0.488 2.196
890000 0.504 2.23
891000 0.482 2.116
892000 0.48 2.212
893000 0.489 2.233
894000 0.504 2.17
895000 0.489 2.257
896000 0.498 2.216
897000 0.466 2.106
898000 0.505 2.137
899000 0.461 2.203
900000 0.482 2.158
901000 0.45 2.11
902000 0.477 2.159
903000 0.477 2.243
904000 0.464 2.212
905000 0.502 2.182
906000 0.499 2.153
907000 0.477 2.189
908000 0.478 2.246
909000 0.472 2.142
910000 0.498 2.154
911000 0.463 2.105
912000 0.453 2.127
913000 0.473 2.237
914000 0.464 2.082
915000 0.483 2.179
916000 0.463 2.151
917000 0.484 2.198
918000 0.475 2.205
919000 0.501 2.177
920000 0.479 2.165
921000 0.483 2.231
922000 0.469 2.127
923000 0.504 2.14
924000 0.455 2.081
925000 0.485 2.125
926000 0.492 2.212
927000 0.48 2.198
928000 0.454 2.252
929000 0.462 2.228
930000 0.479 2.207
931000 0.473 2.161
932000 0.444 2.098
933000 0.47 2.17
934000 0.483 2.171
935000 0.486 2.188
936000 0.464 2.234
937000 0.49 2.248
938000 0.472 2.098
939000 0.467 2.237
940000 0.473 2.261
941000 0.459 2.171
942000 0.459 2.201
943000 0.455 2.133
944000 0.488 2.196
945000 0.476 2.234
946000 0.468 2.12
947000 0.47 2.256
948000 0.466 2.234
949000 0.502 2.218
950000 0.476 2.17
951000 0.469 2.129
952000 0.489 2.259
953000 0.488 2.236
954000 0.486 2.146
955000 0.471 2.231
956000 0.463 2.087
957000 0.481 2.123
958000 0.457 2.199
959000 0.47 2.152
960000 0.477 2.187
961000 0.482 2.22
962000 0.48 2.198
963000 0.492 2.162
964000 0.495 2.131
965000 0.468 2.202
966000 0.452 2.092
967000 0.482 2.23
968000 0.459 2.241
969000 0.48 2.234
970000 0.487 2.221
971000 0.48 2.152
972000 0.447 2.139
973000 0.498 2.23
974000 0.486 2.228
975000 0.466 2.198
976000 0.469 2.167
977000 0.486 2.162
978000 0.508 2.246
979000 0.506 2.222
980000 0.484 2.27
981000 0.432 2.204
982000 0.485 2.211
983000 0.494 2.164
984000 0.474 2.174
985000 0.473 2.175
986000 0.483 2.183
987000 0.461 2.149
988000 0.498 2.13
989000 0.501 2.291
990000 0.448 2.18
991000 0.491 2.199
992000 0.502 2.276
993000 0.464 2.174
994000 0.487 2.191
995000 0.475 2.151
996000 0.481 2.215
997000 0.483 2.259
998000 0.473 2.069
999000 0.49 2.238
1000000 0.458 2.218
