# Time-averaged data for fix avgcoord
# TimeStep c_ac50 c_ac75 c_ac100 c_ac125
347000 0.182 0.616 1.558 3.24
348000 0.228 0.688 1.582 3.204
349000 0.226 0.7 1.712 3.282
350000 0.222 0.744 1.74 3.256
351000 0.206 0.718 1.69 3.292
352000 0.198 0.63 1.612 3.184
353000 0.204 0.708 1.64 3.194
354000 0.214 0.714 1.664 3.234
355000 0.202 0.706 1.568 3.116
356000 0.222 0.686 1.684 3.25
357000 0.21 0.694 1.594 3.2
358000 0.178 0.654 1.588 3.202
359000 0.208 0.74 1.636 3.29
360000 0.202 0.698 1.742 3.338
361000 0.222 0.662 1.644 3.312
362000 0.17 0.684 1.59 3.144
363000 0.186 0.676 1.666 3.372
364000 0.208 0.756 1.866 3.494
365000 0.21 0.728 1.764 3.504
366000 0.182 0.71 1.74 3.418
367000 0.192 0.69 1.646 3.364
368000 0.188 0.692 1.688 3.256
369000 0.236 0.762 1.704 3.338
370000 0.226 0.766 1.746 3.314
371000 0.232 0.74 1.716 3.272
372000 0.21 0.708 1.63 3.262
373000 0.19 0.732 1.68 3.306
374000 0.236 0.76 1.744 3.4
375000 0.268 0.82 1.764 3.37
376000 0.218 0.72 1.694 3.236
377000 0.184 0.706 1.648 3.266
378000 0.224 0.706 1.644 3.272
379000 0.234 0.724 1.642 3.23
380000 0.216 0.734 1.654 3.22
381000 0.216 0.7 1.606 3.13
382000 0.212 0.728 1.646 3.242
383000 0.194 0.692 1.7 3.316
384000 0.208 0.718 1.7 3.28
385000 0.202 0.714 1.646 3.326
386000 0.212 0.724 1.696 3.346
387000 0.21 0.698 1.698 3.262
388000 0.196 0.718 1.62 3.236
389000 0.188 0.74 1.776 3.364
390000 0.192 0.7 1.602 3.206
391000 0.196 0.728 1.658 3.306
392000 0.198 0.662 1.648 3.334
393000 0.208 0.714 1.798 3.326
394000 0.216 0.734 1.67 3.296
395000 0.214 0.742 1.716 3.332
396000 0.19 0.708 1.708 3.394
397000 0.212 0.728 1.728 3.324
398000 0.216 0.722 1.708 3.384
399000 0.228 0.766 1.754 3.412
400000 0.206 0.748 1.698 3.236
401000 0.212 0.688 1.626 3.312
402000 0.188 0.692 1.594 3.312
403000 0.194 0.72 1.678 3.286
404000 0.216 0.742 1.7 3.262
405000 0.232 0.704 1.616 3.282
406000 0.208 0.696 1.664 3.272
407000 0.24 0.762 1.684 3.308
408000 0.228 0.73 1.624 3.294
409000 0.192 0.624 1.628 3.31
410000 0.224 0.698 1.622 3.278
411000 0.172 0.658 1.67 3.23
412000 0.222 0.674 1.716 3.362
413000 0.194 0.728 1.746 3.308
414000 0.234 0.764 1.766 3.294
415000 0.198 0.696 1.65 3.216
416000 0.252 0.678 1.644 3.228
417000 0.164 0.664 1.654 3.244
418000 0.18 0.668 1.688 3.294
419000 0.228 0.704 1.646 3.268
420000 0.232 0.764 1.728 3.258
421000 0.218 0.72 1.688 3.246
422000 0.21 0.718 1.676 3.196
423000 0.208 0.74 1.78 3.414
424000 0.188 0.688 1.698 3.212
425000 0.186 0.744 1.678 3.228
426000 0.204 0.714 1.722 3.342
427000 0.242 0.742 1.738 3.346
428000 0.226 0.726 1.718 3.21
429000 0.232 0.762 1.632 3.25
430000 0.254 0.736 1.712 3.318
431000 0.25 0.748 1.734 3.286
432000 0.222 0.77 1.736 3.218
433000 0.16 0.634 1.672 3.208
434000 0.212 0.76 1.636 3.188
435000 0.188 0.668 1.606 3.258
436000 0.202 0.71 1.612 3.262
437000 0.19 0.692 1.602 3.262
438000 0.196 0.64 1.612 3.2
439000 0.224 0.698 1.64 3.196
440000 0.214 0.652 1.654 3.318
441000 0.228 0.736 1.73 3.308
442000 0.216 0.622 1.602 3.308
443000 0.186 0.622 1.648 3.174
444000 0.186 0.654 1.6 3.188
445000 0.17 0.63 1.6 3.26
446000 0.194 0.692 1.612 3.136
447000 0.176 0.646 1.622 3.182
448000 0.212 0.73 1.654 3.178
449000 0.184 0.614 1.55 3.05
450000 0.208 0.712 1.65 3.214
451000 0.208 0.714 1.654 3.27
452000 0.194 0.682 1.654 3.164
453000 0.202 0.69 1.678 3.278
454000 0.254 0.786 1.67 3.19
455000 0.218 0.688 1.68 3.376
456000 0.2 0.666 1.654 3.182
457000 0.182 0.592 1.61 3.242
458000 0.174 0.672 1.654 3.216
459000 0.196 0.666 1.58 3.238
460000 0.198 0.714 1.704 3.272
461000 0.242 0.764 1.742 3.348
462000 0.212 0.714 1.688 3.282
463000 0.176 0.672 1.686 3.258
464000 0.232 0.754 1.658 3.334
465000 0.244 0.702 1.62 3.204
466000 0.214 0.686 1.64 3.314
467000 0.202 0.67 1.58 3.238
468000 0.214 0.706 1.684 3.276
469000 0.214 0.704 1.602 3.308
470000 0.202 0.682 1.678 3.304
471000 0.19 0.702 1.692 3.3
472000 0.228 0.762 1.768 3.288
473000 0.21 0.692 1.636 3.136
474000 0.184 0.69 1.728 3.378
475000 0.184 0.694 1.556 3.162
476000 0.194 0.73 1.782 3.298
477000 0.248 0.768 1.62 3.24
478000 0.19 0.732 1.648 3.306
479000 0.196 0.624 1.638 3.208
480000 0.208 0.684 1.654 3.188
481000 0.192 0.682 1.656 3.324
482000 0.206 0.692 1.648 3.23
483000 0.212 0.742 1.74 3.252
484000 0.204 0.754 1.768 3.358
485000 0.226 0.742 1.698 3.35
486000 0.19 0.71 1.712 3.266
487000 0.216 0.74 1.786 3.404
488000 0.24 0.772 1.74 3.32
489000 0.242 0.68 1.666 3.188
490000 0.224 0.74 1.756 3.344
491000 0.188 0.768 1.748 3.454
492000 0.238 0.736 1.728 3.358
493000 0.196 0.712 1.638 3.268
494000 0.21 0.702 1.648 3.216
495000 0.182 0.624 1.616 3.222
496000 0.184 0.69 1.614 3.26
497000 0.206 0.696 1.704 3.382
