# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
825000 0.16 0.542
826000 0.19 0.518
827000 0.169 0.569
828000 0.181 0.543
829000 0.17 0.502
830000 0.181 0.539
831000 0.174 0.472
832000 0.171 0.513
833000 0.18 0.554
834000 0.208 0.528
835000 0.189 0.515
836000 0.17 0.576
837000 0.174 0.528
838000 0.195 0.449
839000 0.177 0.529
840000 0.191 0.555
841000 0.159 0.543
842000 0.167 0.527
843000 0.192 0.508
844000 0.193 0.501
845000 0.22 0.518
846000 0.182 0.552
847000 0.178 0.48
848000 0.169 0.533
849000 0.191 0.567
850000 0.186 0.552
851000 0.206 0.562
852000 0.186 0.536
853000 0.204 0.51
854000 0.175 0.553
855000 0.183 0.559
856000 0.172 0.518
857000 0.18 0.538
858000 0.164 0.504
859000 0.167 0.461
860000 0.158 0.478
861000 0.158 0.598
862000 0.178 0.524
863000 0.185 0.451
864000 0.2 0.484
865000 0.185 0.525
866000 0.212 0.546
867000 0.176 0.506
868000 0.191 0.547
869000 0.208 0.518
870000 0.191 0.563
871000 0.197 0.523
872000 0.176 0.446
873000 0.208 0.576
874000 0.173 0.515
875000 0.18 0.486
876000 0.186 0.496
877000 0.19 0.492
878000 0.204 0.558
879000 0.162 0.538
880000 0.18 0.62
881000 0.184 0.482
882000 0.211 0.521
883000 0.178 0.524
884000 0.167 0.479
885000 0.161 0.531
886000 0.205 0.517
887000 0.172 0.472
888000 0.191 0.547
889000 0.168 0.508
890000 0.158 0.51
891000 0.185 0.547
892000 0.21 0.544
893000 0.193 0.581
894000 0.218 0.574
895000 0.199 0.557
896000 0.194 0.516
897000 0.204 0.548
898000 0.154 0.494
899000 0.2 0.528
900000 0.173 0.529
901000 0.194 0.492
902000 0.192 0.508
903000 0.21 0.554
904000 0.166 0.478
905000 0.154 0.528
906000 0.163 0.467
907000 0.169 0.489
908000 0.207 0.559
909000 0.184 0.524
910000 0.186 0.538
911000 0.177 0.511
912000 0.172 0.502
913000 0.167 0.523
914000 0.189 0.561
915000 0.186 0.534
916000 0.202 0.54
917000 0.162 0.506
918000 0.185 0.533
919000 0.205 0.597
920000 0.175 0.515
921000 0.157 0.527
922000 0.184 0.466
923000 0.201 0.549
924000 0.156 0.548
925000 0.154 0.558
926000 0.19 0.514
927000 0.177 0.527
928000 0.186 0.52
929000 0.179 0.553
930000 0.147 0.479
931000 0.189 0.587
932000 0.17 0.472
933000 0.168 0.492
934000 0.207 0.501
935000 0.163 0.501
936000 0.192 0.512
937000 0.177 0.503
938000 0.196 0.54
939000 0.172 0.51
940000 0.204 0.568
941000 0.185 0.535
942000 0.187 0.567
943000 0.174 0.49
944000 0.176 0.542
945000 0.198 0.57
946000 0.184 0.534
947000 0.175 0.529
948000 0.196 0.58
949000 0.199 0.515
950000 0.164 0.508
951000 0.211 0.591
952000 0.18 0.5
953000 0.183 0.493
954000 0.211 0.525
955000 0.168 0.552
956000 0.188 0.572
957000 0.179 0.523
958000 0.184 0.52
959000 0.193 0.511
960000 0.163 0.485
961000 0.17 0.468
962000 0.181 0.517
963000 0.18 0.538
964000 0.184 0.59
965000 0.194 0.572
966000 0.178 0.49
967000 0.189 0.563
968000 0.145 0.513
969000 0.189 0.557
970000 0.16 0.546
971000 0.179 0.483
972000 0.187 0.491
973000 0.176 0.568
974000 0.194 0.568
975000 0.163 0.551
976000 0.201 0.515
977000 0.181 0.483
978000 0.168 0.528
979000 0.169 0.457
980000 0.161 0.489
981000 0.16 0.468
982000 0.199 0.571
983000 0.179 0.507
984000 0.207 0.549
985000 0.171 0.533
986000 0.186 0.524
987000 0.183 0.541
988000 0.183 0.549
989000 0.181 0.515
990000 0.193 0.487
991000 0.172 0.5
992000 0.17 0.448
993000 0.176 0.52
994000 0.171 0.557
995000 0.186 0.554
996000 0.186 0.524
997000 0.183 0.537
998000 0.16 0.522
999000 0.196 0.544
1000000 0.178 0.506
