# Time-averaged data for fix avgcoord
# TimeStep c_ac1 c_ac2
587000 0.624 1.632
588000 0.634 1.65
589000 0.653 1.619
590000 0.703 1.639
591000 0.669 1.613
592000 0.642 1.646
593000 0.647 1.605
594000 0.628 1.618
595000 0.645 1.579
596000 0.653 1.673
597000 0.653 1.589
598000 0.618 1.624
599000 0.577 1.621
600000 0.633 1.635
601000 0.596 1.578
602000 0.6 1.596
603000 0.585 1.591
604000 0.651 1.621
605000 0.61 1.632
606000 0.63 1.618
607000 0.619 1.569
608000 0.673 1.653
609000 0.635 1.625
610000 0.627 1.669
611000 0.615 1.601
612000 0.671 1.607
613000 0.659 1.597
614000 0.63 1.68
615000 0.634 1.632
616000 0.623 1.623
617000 0.63 1.678
618000 0.653 1.657
619000 0.644 1.588
620000 0.624 1.596
621000 0.615 1.561
622000 0.652 1.624
623000 0.61 1.678
624000 0.632 1.594
625000 0.649 1.595
626000 0.673 1.715
627000 0.604 1.588
628000 0.618 1.594
629000 0.615 1.619
630000 0.64 1.616
631000 0.596 1.586
632000 0.629 1.601
633000 0.63 1.662
634000 0.632 1.614
635000 0.58 1.626
636000 0.639 1.643
637000 0.649 1.669
638000 0.635 1.597
639000 0.622 1.574
640000 0.647 1.735
641000 0.641 1.635
642000 0.647 1.621
643000 0.632 1.656
644000 0.598 1.586
645000 0.645 1.615
646000 0.652 1.652
647000 0.622 1.546
648000 0.63 1.558
649000 0.641 1.661
650000 0.608 1.646
651000 0.598 1.576
652000 0.633 1.671
653000 0.641 1.661
654000 0.645 1.713
655000 0.599 1.639
656000 0.658 1.64
657000 0.645 1.591
658000 0.646 1.618
659000 0.646 1.704
660000 0.599 1.663
661000 0.619 1.645
662000 0.617 1.615
663000 0.605 1.629
664000 0.603 1.639
665000 0.645 1.571
666000 0.638 1.672
667000 0.61 1.612
668000 0.653 1.689
669000 0.634 1.59
670000 0.61 1.662
671000 0.631 1.627
672000 0.609 1.603
673000 0.637 1.611
674000 0.678 1.664
675000 0.655 1.601
676000 0.656 1.63
677000 0.664 1.628
678000 0.639 1.665
679000 0.644 1.64
680000 0.616 1.574
681000 0.645 1.605
682000 0.617 1.595
683000 0.632 1.634
684000 0.654 1.638
685000 0.644 1.582
686000 0.645 1.669
687000 0.615 1.563
688000 0.691 1.691
689000 0.617 1.629
690000 0.689 1.651
691000 0.656 1.684
692000 0.641 1.655
693000 0.678 1.658
694000 0.662 1.656
695000 0.642 1.638
696000 0.661 1.611
697000 0.657 1.655
698000 0.64 1.678
699000 0.676 1.634
700000 0.639 1.655
701000 0.633 1.577
702000 0.667 1.671
703000 0.645 1.657
704000 0.631 1.619
705000 0.648 1.65
706000 0.651 1.645
707000 0.626 1.624
708000 0.656 1.63
709000 0.658 1.618
710000 0.64 1.596
711000 0.598 1.558
712000 0.629 1.631
713000 0.604 1.598
714000 0.683 1.625
715000 0.641 1.581
716000 0.655 1.647
717000 0.647 1.651
718000 0.653 1.609
719000 0.577 1.589
720000 0.624 1.58
721000 0.643 1.605
722000 0.626 1.64
723000 0.657 1.623
724000 0.639 1.565
725000 0.621 1.665
726000 0.683 1.677
727000 0.648 1.59
728000 0.621 1.587
729000 0.655 1.661
730000 0.641 1.631
731000 0.666 1.67
732000 0.617 1.591
733000 0.637 1.597
734000 0.644 1.564
735000 0.584 1.566
736000 0.633 1.667
737000 0.671 1.571
738000 0.644 1.64
739000 0.63 1.588
740000 0.596 1.638
741000 0.673 1.711
742000 0.625 1.605
743000 0.625 1.619
744000 0.615 1.553
745000 0.587 1.625
746000 0.642 1.646
747000 0.661 1.655
748000 0.647 1.583
749000 0.647 1.577
750000 0.661 1.699
751000 0.66 1.762
752000 0.649 1.647
753000 0.639 1.735
754000 0.659 1.703
755000 0.63 1.608
756000 0.665 1.675
757000 0.638 1.56
758000 0.631 1.633
759000 0.642 1.67
760000 0.651 1.623
761000 0.614 1.632
762000 0.602 1.612
763000 0.612 1.622
764000 0.618 1.638
765000 0.661 1.673
766000 0.607 1.607
767000 0.675 1.677
768000 0.62 1.638
769000 0.669 1.653
770000 0.666 1.684
771000 0.614 1.62
772000 0.652 1.666
773000 0.683 1.707
774000 0.659 1.631
775000 0.62 1.614
776000 0.647 1.599
777000 0.693 1.657
778000 0.683 1.671
779000 0.639 1.607
780000 0.62 1.584
781000 0.634 1.674
782000 0.644 1.668
783000 0.603 1.599
784000 0.602 1.628
785000 0.599 1.609
786000 0.644 1.582
787000 0.605 1.535
788000 0.657 1.699
789000 0.63 1.618
790000 0.652 1.578
791000 0.637 1.603
792000 0.626 1.586
793000 0.595 1.675
794000 0.63 1.62
795000 0.619 1.651
796000 0.662 1.662
797000 0.62 1.64
798000 0.66 1.64
799000 0.627 1.637
800000 0.644 1.726
801000 0.631 1.657
802000 0.664 1.646
803000 0.659 1.729
804000 0.634 1.666
805000 0.603 1.635
806000 0.649 1.595
807000 0.661 1.639
808000 0.628 1.644
809000 0.655 1.551
810000 0.649 1.667
811000 0.633 1.665
812000 0.615 1.571
813000 0.66 1.568
814000 0.622 1.674
815000 0.623 1.669
816000 0.651 1.661
817000 0.607 1.563
818000 0.682 1.692
819000 0.657 1.585
820000 0.607 1.601
821000 0.632 1.64
822000 0.595 1.569
823000 0.662 1.658
824000 0.633 1.611
825000 0.621 1.561
826000 0.64 1.648
827000 0.642 1.604
828000 0.642 1.614
829000 0.626 1.624
830000 0.648 1.656
831000 0.621 1.621
832000 0.637 1.659
833000 0.622 1.604
834000 0.647 1.595
835000 0.629 1.573
836000 0.608 1.592
837000 0.642 1.604
838000 0.633 1.687
839000 0.595 1.627
840000 0.639 1.589
841000 0.656 1.726
842000 0.669 1.681
843000 0.672 1.622
844000 0.635 1.603
845000 0.636 1.628
846000 0.634 1.682
847000 0.619 1.657
848000 0.637 1.699
849000 0.627 1.515
850000 0.679 1.627
851000 0.643 1.657
852000 0.63 1.59
853000 0.635 1.651
854000 0.624 1.602
855000 0.654 1.636
856000 0.628 1.616
857000 0.653 1.613
858000 0.641 1.715
859000 0.67 1.64
860000 0.628 1.59
861000 0.612 1.612
862000 0.634 1.558
863000 0.598 1.578
864000 0.644 1.578
865000 0.615 1.567
866000 0.634 1.634
867000 0.636 1.61
868000 0.653 1.627
869000 0.637 1.563
870000 0.639 1.577
871000 0.66 1.518
872000 0.664 1.65
873000 0.622 1.586
874000 0.643 1.659
875000 0.668 1.664
876000 0.629 1.593
877000 0.72 1.71
878000 0.66 1.616
879000 0.666 1.59
880000 0.667 1.645
881000 0.653 1.683
882000 0.678 1.654
883000 0.671 1.663
884000 0.648 1.646
885000 0.649 1.643
886000 0.665 1.631
887000 0.646 1.636
888000 0.64 1.644
889000 0.666 1.554
890000 0.667 1.663
891000 0.626 1.64
892000 0.632 1.684
893000 0.664 1.64
894000 0.653 1.607
895000 0.688 1.668
896000 0.649 1.677
897000 0.621 1.619
898000 0.659 1.613
899000 0.676 1.598
900000 0.653 1.611
901000 0.65 1.622
902000 0.66 1.642
903000 0.642 1.586
904000 0.628 1.66
905000 0.653 1.683
906000 0.671 1.709
907000 0.655 1.677
908000 0.687 1.645
909000 0.666 1.63
910000 0.632 1.638
911000 0.659 1.713
912000 0.631 1.601
913000 0.672 1.62
914000 0.644 1.572
915000 0.643 1.621
916000 0.619 1.553
917000 0.683 1.683
918000 0.618 1.628
919000 0.672 1.66
920000 0.636 1.608
921000 0.621 1.623
922000 0.631 1.653
923000 0.657 1.671
924000 0.651 1.653
925000 0.656 1.732
926000 0.645 1.651
927000 0.634 1.584
928000 0.633 1.555
929000 0.664 1.578
930000 0.64 1.68
931000 0.65 1.648
932000 0.609 1.589
933000 0.681 1.725
934000 0.626 1.63
935000 0.63 1.636
936000 0.641 1.637
937000 0.649 1.663
938000 0.627 1.569
939000 0.675 1.587
940000 0.629 1.591
941000 0.637 1.703
942000 0.655 1.665
943000 0.661 1.701
944000 0.63 1.622
945000 0.658 1.64
946000 0.655 1.625
947000 0.642 1.68
948000 0.591 1.615
949000 0.668 1.656
950000 0.628 1.628
951000 0.631 1.561
952000 0.629 1.665
953000 0.675 1.665
954000 0.671 1.617
955000 0.661 1.561
956000 0.616 1.636
957000 0.637 1.611
958000 0.668 1.646
959000 0.652 1.598
960000 0.648 1.606
961000 0.652 1.618
962000 0.67 1.746
963000 0.655 1.633
964000 0.624 1.646
965000 0.605 1.605
966000 0.629 1.681
967000 0.687 1.643
968000 0.661 1.741
969000 0.616 1.66
970000 0.677 1.659
971000 0.645 1.669
972000 0.647 1.677
973000 0.615 1.619
974000 0.698 1.698
975000 0.63 1.702
976000 0.624 1.604
977000 0.64 1.626
978000 0.6 1.55
979000 0.654 1.628
980000 0.668 1.604
981000 0.622 1.56
982000 0.628 1.63
983000 0.63 1.606
984000 0.658 1.658
985000 0.654 1.632
986000 0.639 1.661
987000 0.627 1.583
988000 0.667 1.677
989000 0.668 1.662
990000 0.629 1.663
991000 0.682 1.698
992000 0.634 1.608
993000 0.652 1.704
994000 0.617 1.671
995000 0.683 1.745
996000 0.647 1.697
997000 0.637 1.673
998000 0.631 1.653
999000 0.642 1.628
1000000 0.643 1.687
